package_name,weekly_downloads,repeated_characters,repeated_chars_dls,omitted_characters,omitted_chars_dls,swapped_characters,swapped_chars_dls,swapped_words,swapped_words_dls,common_typos,common_typos_dls,version_numbers,version_numbers_dls
wr,65,,,,,rw,1141778,,,wd,126037,,
fs-node,8,,,,,,,node-fs,123301,fs-mode,11525,,
awync,0,,,,,,,,,async,26108549,,
gulp-templates,1,,,gulp-template,27611,,,,,,,,
react-uuid,3906,react-uid,53671,react-uid,53671,,,,,,,,
react-detect-offline-2,1,,,,,,,,,,,react-detect-offline,11001
awssign,1,,,assign,10818,,,,,,,,
gl-plot-2d,0,,,gl-plot2d,57228,,,,,gl-plot2d,57228,,
expects,4,,,expect,6452991,,,,,,,,
neeet,1,net,73185,,,,,,,,,,
graphqlq,1,,,graphql,2925446,,,,,,,,
mako,6,,,,,,,,,majo,12778,,
how,2,,,,,,,,,now,47525,,
slider.react,2,,,,,,,react-slider,26935,,,,
arrays-union,1,,,array-union,10775317,,,,,,,,
n4,175,,,,,,,,,,,n,139624
vue9,8,,,,,,,,,,,vue,1434217
sequential-promise,2,,,,,,,promise-sequential,10777,,,,
gatsby-remark-images-relative,0,,,,,,,gatsby-remark-relative-images,21138,,,,
fangular,81,,,angular,482589,,,,,,,,
uui,160,,,,,,,,,yui,25150,,
file-move,77,,,,,,,move-file,44252,,,,
tag-html,8,,,,,,,html-tag,79613,,,,
redwire,58,,,rewire,189745,,,,,,,,
ard,0,,,,,,,,,add,97556,,
ims-dom,1,,,is-dom,1237787,,,,,,,,
sleuthy,1,,,sleuth,12183,,,,,,,,
stylish,148,,,stylis,1835249,,,,,,,,
flit,0,,,,,,,,,flot,30452,,
zdatejs,0,,,datejs,10085,,,,,,,,
tike,1,,,,,,,,,time,10833,,
zrouter,1,,,router,248923,,,,,,,,
powfile,3,,,pofile,125977,,,,,,,,
reactn-devtools,418,,,react-devtools,26374,,,,,,,,
big-js,4331,,,,,,,big.js,10727932,big.js,10727932,,
react-vlist,14,,,react-list,40718,,,,,,,,
koa1-conditional-get,0,,,koa-conditional-get,35926,,,,,,,,
